Customer_Name,Cust_Type
Finer Riding Supplies,Silver
First-Rate Outlet,Silver
Year-Round Sports,Silver
Totes & Baskets Company,Silver
Scratch-Resistant Finishes Company,Silver
Primary Bike Distributors,Silver
Leather and Vinyl Manufacturing,Gold
Great Bicycle Supply,Gold
Bold Bike Accessories,Platinum
Two-Wheeled Transit Company,Silver
Serious Cycles,Platinum
District Mall,Silver
Sparkling Paint and Finishes,Silver
Sturdy Toys,Platinum
Sixth Bike Store,Silver
Brightwork Company,Silver
Affordable Sports Equipment,Silver
Consolidated Sales,Platinum
Super Sports Store,Silver
Thorough Parts and Repair Services,Platinum
Vast Bike Sales and Rental,Silver
Social Activities Club,Platinum
Major Cycling,Silver
Basic Sports Equipment,Silver
Tough and Reliable Parts,Silver
Fun Times Club,Platinum
Alpine Ski House,Platinum
Sunny Place Bikes,Gold
Tenth Bike Store,Platinum
New Bikes Company,Silver
Retail Sales and Service,Gold
Some Discount Store,Platinum
eCommerce Bikes,Gold
Designated Distributors,Gold
Qualified Sales and Repair Services,Platinum
General Associates,Silver
Hardware Components,Silver
Permanent Finish Products,Platinum
Lease-a-Bike Shop,Silver
Roadway Supplies,Silver
Brakes and Gears,Silver
Advanced Bike Components,Silver
Central Discount Store,Silver
Stylish Department Stores,Silver
Greater Bike Store,Gold
Larger Cycle Shop,Platinum
Leading Sales & Repair,Platinum
Paint Supply,Gold
Scooters and Bikes Store,Platinum
Sports Commodities,Silver
Stationary Bikes and Stands,Gold
Two Wheels Cycle Store,Silver
Rapid Bikes,Silver
Famous Bike Sales and Service,Silver
Modern Bike Store,Gold
Corner Bicycle Supply,Platinum
Metal Processing Company,Gold
Downtown Hotel,Gold
Excellent Riding Supplies,Silver
Certified Sports Supply,Platinum
Sundry Sporting Goods,Gold
Full-Service Bike Store,Gold
Trailblazing Sports,Gold
Painters Bicycle Specialists,Silver
Sample Bike Store,Silver
A Great Bicycle Company,Silver
Metro Cycle Shop,Silver
A Typical Bike Shop,Gold
Reliable Brake Systems,Platinum
Fashionable Bikes and Accessories,Gold
The New Bike Store,Gold
Distinctive Store,Silver
Extended Bike Sales,Silver
Elemental Sporting Goods,Gold
Distinctive Cycles Sales & Service,Platinum
Touring Services,Gold
Genuine Bike Shop,Silver
Good Bike Shop,Silver
Remarkable Bike Store,Silver
Regional Manufacturing,Gold
Unique Bikes,Platinum
Price-Cutter Discount Bikes,Platinum
Racing Toys,Platinum
Quick Delivery Service,Platinum
Metropolitan Sales and Rental,Platinum
Cycles and Scooters,Silver
Mountain Toy Store,Silver
Practical Bike Supply Company,Gold
Global Plaza,Gold
Bicycle Outfitters,Silver
The Bike Mechanics,Silver
Riders Company,Gold
Rural Sales and Service,Silver
Safe Toys,Gold
Next-Door Bike Store,Silver
General Cycle Storehouse,Gold
Ultimate Bike Shop,Silver
Golf and Cycle Store,Silver
First Cycle Store,Gold
Tandem Sales and Service,Silver
Solid Bike Parts,Silver
Small Bike Shop,Silver
Discount Tours,Silver
Bike Goods,Gold
Vigorous Exercise Company,Gold
Largest Bike Store,Gold
Lots of Bikes Storehouse,Gold
Handy Bike Services,Silver
Acceptable Sales & Service,Platinum
Plastic Parts Company,Silver
The Showroom,Silver
Recommended Bicycles,Silver
Nonskid Tire Company,Gold
General Department Stores,Silver
More Bikes!,Platinum
Westside Cycle Store,Silver
Retirement Activities Association,Silver
Demand Distributors,Silver
One-Piece Handle Bars,Gold
Finer Parts Shop,Silver
Finish and Sealant Products,Gold
Vinyl and Plastic Goods Corporation,Gold
Modular Cycle Systems,Platinum
Associated Bikes,Gold
Distant Inn,Silver
Rally Day Mall,Platinum
Specialty Sports Store,Gold
Immediate Repair Shop,Silver
Steel Inc.,Silver
This Area Sporting Goods,Silver
Go-cart and Bike Specialists,Silver
Instant Cycle Store,Silver
Eastside Sporting Goods,Gold
Spoke Manufacturers,Silver
Leather Seat Factory,Gold
Large Bike Shop,Silver
Classic Cycle Store,Silver
Roving Sports,Platinum
Full Sports Supply,Gold
Active Systems,Gold
Number One Bike Co.,Platinum
Citywide Service and Repair,Gold
All Cycle Shop,Platinum
Recreation Toy Store,Platinum
Spare Parts Co.,Platinum
First Department Stores,Silver
Racing Association,Platinum
Commendable Bikes,Silver
Activity Center,Silver
Grand Discount Store,Platinum
Bikes for Kids and Adults,Gold
Professional Cycle Store,Silver
Hobby Store,Gold
Real Sporting Goods,Platinum
Worthwhile Activity Store,Platinum
Top Sports Supply,Silver
Futuristic Sport Distributors,Silver
Valuable Bike Parts Company,Silver
Prosperous Tours,Silver
Casual Bicycle Store,Silver
Retail Toy Store,Platinum
Gift and Toy Store,Gold
Executive Discount Store,Silver
Extended Tours,Silver
Exhilarating Cycles,Silver
Official Parts Shop,Platinum
Western Bike Supplies,Silver
Village Tours,Silver
Progressive Sports,Silver
Bikes and Motorbikes,Gold
Travel Systems,Gold
Frugal Bike Shop,Silver
Latest Accessories Sales,Platinum
Manufacturers Inc,Gold
Metro Manufacturing,Platinum
Neighborhood Store,Silver
Mechanical Products Ltd.,Gold
Reasonable Bicycle Sales,Platinum
Riverside Company,Silver
Mountain Bike Center,Silver
Urban Sports Emporium,Gold
Wheelsets Storehouse,Gold
Security Racks and Locks Wholesalers,Gold
Nearby Sporting Goods,Gold
Front Sporting Goods,Gold
Wonderful Bikes Inc.,Platinum
Fleet Bikes,Silver
Distance Bikes,Silver
Ace Bicycle Supply,Gold
Registered Cycle Store,Silver
Lubricant and Grease Suppliers,Silver
Exclusive Bicycle Mart,Gold
Pedal Systems Company,Gold
Leisure Activities,Silver
Fashionable Department Stores,Silver
Closeout Boutique,Gold
Client Discount Store,Silver
Major Amusement Company,Silver
Number 1 Supply,Platinum
Quantity Discounts,Silver
Standard Bikes,Silver
Extreme Toy Store,Platinum
Rural Mountain Bike Mart,Silver
Orange Bicycle Company,Silver
Metro Bike Works,Platinum
Retreat Inn,Silver
Mail-Order Outlet,Silver
Genial Bike Associates,Silver
Twelfth Bike Store,Platinum
Mechanical Sports Center,Silver
Commerce Bicycle Specialists,Silver
Grand Sport Boutique,Gold
Bicycle Lines Distributors,Silver
Executive Gift Store,Gold
Leisure Clearing House,Silver
Custom Accessories Company,Silver
Uttermost Bike Shop,Silver
Satin Finish Company,Silver
Sheet Metal Manufacturing,Silver
Finer Cycle Shop,Gold
Bike Products and Accessories,Silver
Blue Bicycle Company,Silver
Noiseless Gear Company,Gold
General Supplies,Silver
Downhill Bicycle Specialists,Silver
Bike Experts,Silver
Tiny Bike Boutique,Gold
Chain and Chain Tool Distributions,Platinum
Big-Time Bike Store,Gold
Spa and Exercise Outfitters,Silver
Guaranteed Sales and Service,Silver
Field Trip Store,Silver
Economy Center,Silver
Family's Favorite Bike Shop,Gold
Area Sheet Metal Supply,Gold
Professional Containers and Packaging Co.,Platinum
Cycling Goods,Silver
Coho Sports,Silver
Metropolitan Equipment,Silver
Fitness Sport Boutique,Silver
Superior Hardware Distributors,Silver
Mercantile Outlet,Gold
Bike Boutique,Platinum
Traditional Department Stores,Silver
Tire Exchange,Gold
Oils and Fluids Warehouse,Silver
Finished Parts Shop,Silver
The Accessories Store,Silver
Metropolitan Sports Supply,Gold
Rural Cycle Emporium,Platinum
Bulk Discount Store,Gold
Chic Department Stores,Gold
Bike World,Gold
Eastside Department Store,Silver
Coalition Bike Company,Gold
Cycle Merchants,Gold
Two Bike Shops,Gold
Fitness Hotel,Silver
Many Bikes Store,Silver
Self-Contained Cycle Parts Company,Silver
Outdoor Equipment Store,Silver
Sales and Supply Company,Gold
Superlative Bikes,Platinum
Metro Sports Equipment,Silver
Elite Bikes,Silver
Commercial Sporting Goods,Platinum
Local Hardware Factory,Silver
Initial Bike Company,Silver
Futuristic Bikes,Silver
Vigorous Sports Store,Silver
Third Bike Store,Silver
Economy Bikes Company,Silver
"Fabrikam Inc., West",Gold
Optimal Bikes,Platinum
Certified Bicycle Supply,Silver
Bicycle Merchandise Warehouse,Gold
Safe Cycles Shop,Silver
General Industries,Silver
The Bicycle Accessories Company,Silver
Grand Bicycle Stores,Silver
Nice Bikes,Silver
Work and Play Association,Platinum
Principal Bike Company,Silver
Tachometers and Accessories,Gold
World of Bikes,Gold
Nearby Cycle Shop,Silver
Exercise Center,Platinum
Fad Outlet,Silver
Beneficial Exercises and Activities,Silver
Online Bike Sellers,Silver
Bikes for Two,Gold
Retail Sporting Equipment,Platinum
Active Life Toys,Silver
Summer Sports Place,Silver
Retail Cycle Shop,Silver
Getaway Inn,Gold
Bicycle Accessories and Kits,Platinum
Cash & Carry Bikes,Silver
Extraordinary Bike Works,Silver
Valley Toy Store,Silver
Racing Sales and Service,Silver
Metropolitan Bicycle Supply,Gold
Remote Bicycle Specialists,Silver
Community Department Stores,Gold
One Bike Company,Platinum
Our Sporting Goods Store,Platinum
Good Toys,Silver
Famous Bike Shop,Silver
Recreation Systems,Silver
Reliable Retail Center,Platinum
Convenient Sales and Service,Silver
Sports Products Store,Platinum
Retread Tire Company,Gold
Selected Distributors,Silver
Online Bike Warehouse,Gold
Authentic Sales and Service,Gold
Family Cycle Store,Silver
Successful Sales Company,Silver
Responsible Bike Dealers,Gold
Pedals Warehouse,Platinum
Road-Way Mart,Gold
Retail Sporting Goods,Silver
Countryside Company,Silver
Tandem Bicycle Store,Gold
City Manufacturing,Silver
Mountain Emporium,Silver
Valley Bicycle Distributors,Silver
Seats and Saddles Company,Gold
Racing Bike Outlet,Silver
Gear-Shift Bikes Limited,Silver
Kickstand Sellers,Platinum
Road Way Sales and Rental,Platinum
The Commissary,Platinum
Valley Bicycle Specialists,Silver
Sports Store,Platinum
Active Cycling,Silver
Future Bikes,Gold
General Riding Supplies,Gold
Black Bicycle Company,Platinum
Major Sporting Goods,Platinum
Extras Sporting Goods,Gold
Center Cycle Shop,Silver
Imported and Domestic Cycles,Gold
Recreation Supplies,Silver
Friendly Neighborhood Bikes,Gold
Cycles Wholesaler & Mfg.,Platinum
Bicycle Exporters,Platinum
Rural Department Store,Silver
Vintage Sport Boutique,Silver
Machines & Cycles Store,Silver
First Supplies,Silver
Plastic Products Manufacturers,Silver
Weekend Bike Tours,Gold
Exhibition Showroom,Gold
Rally Master Company Inc,Gold
Best o' Bikes,Silver
Helmets and Cycles,Gold
Exceptional Cycle Services,Gold
Vale Riding Supplies,Silver
Outdoor Sporting Goods,Silver
Best Cycle Store,Gold
Professional Sporting Goods,Silver
Amalgamated Parts Shop,Gold
Technical Parts Manufacturing,Platinum
Primary Cycle Shop,Silver
Fitness Cycling,Silver
Unusual Bicycle Company,Silver
Roadway Bike Emporium,Silver
"Fabrikam Inc., East",Silver
Honest Repair Service,Silver
Major Sport Suppliers,Silver
Versatile Sporting Goods Company,Silver
Lustrous Paints and Components,Silver
Fitness Discount Store,Silver
All Seasons Sports Supply,Gold
Westside Plaza,Silver
Sensible Sports,Gold
Producer Goods Clearinghouse,Silver
Eastside Cycle Shop,Gold
Mountain Bike Store,Gold
Exemplary Cycles,Platinum
Commuter Bicycle Store,Silver
Wheels Inc.,Silver
Metal Clearing House,Silver
North Bike Company,Silver
Outdoor Aerobic Systems Company,Gold
Racks and Security Systems,Silver
Roadway Bicycle Supply,Gold
Rich Department Store,Gold
Up-To-Date Sports,Silver
The Bike Outlet,Silver
Eighth Bike Store,Gold
Budget Bike Company,Silver
South Bike Company,Silver
Rental Gallery,Silver
Uncompromising Quality Co,Silver
Rampart Amusement Company,Platinum
Family Entertainment Center,Platinum
Perfect Toys,Platinum
Authorized Bike Sales and Rental,Silver
Fast Bike Works,Silver
Global Bike Retailers,Silver
Express Bike Services,Silver
Endurance Bikes,Platinum
Industrial Supplies,Platinum
Farthest Bike Store,Gold
Fasteners & Bolts Outlet,Gold
Excellent Bikes,Platinum
Racing Supply Distributors,Platinum
Riding Associates,Silver
Low Price Cycles,Silver
Second Bike Shop,Gold
Major Bicycle Store,Silver
Quality Bike Sales,Platinum
Mail Market,Gold
Novelty Bikes,Gold
Fitness Supplies,Gold
Immense Manufacturing Company,Silver
Grown-up Bike Store,Platinum
Pretty Bikes and Toys,Gold
Gears and Parts Company,Gold
Big Cycle Mall,Silver
Pedaling Components,Platinum
Kids and Adults Cycle Shop,Silver
Atypical Bike Company,Gold
Leading Bike Distributors,Silver
Fitness Toys,Gold
Small Bike Accessories Shop,Silver
List Price Catalog Company,Platinum
Metro Metals Co.,Gold
Mobile Outlet,Silver
Consolidated Messenger,Silver
Top of the Line Bikes,Silver
Variety Cycling,Gold
Systematic Sales,Platinum
Outstanding Cycles,Silver
Little Bicycle Supply Shop,Silver
Maintenance and Repair for Bicycles,Silver
Fitness Department Stores,Silver
Favorite Toy Distributor,Silver
Fast Services,Silver
Tubeless Tire Company,Silver
Efficient Cycling,Silver
Ultimate Bicycle Company,Platinum
Impervious Paint Company,Silver
Finer Sporting Goods,Silver
Capital Riding Supplies,Gold
Racing Tours,Platinum
Showcase for Cycles,Gold
Functional Store South,Gold
Stock Parts and Supplies,Gold
Underglaze and Finish Company,Silver
Aerobic Exercise Company,Gold
Bicycle Warehouse Inc.,Silver
Budget Toy Store,Silver
Global Sports Outlet,Silver
Finer Mart,Gold
Games and Sport Supply Company,Gold
Grand Industries,Silver
Neighborhood Bicycle Storehouse,Silver
Ideal Components,Silver
Instruments and Parts Company,Silver
Incomparable Bicycle Store,Platinum
Kickstands and Accessories Company,Platinum
Locks Company,Platinum
Online Bike Catalog,Gold
Closest Bicycle Store,Platinum
Very Best Sports Supply,Silver
West Side Mart,Silver
Travel Sports,Silver
Town Industries,Platinum
Trendy Department Stores,Silver
Off-Price Bike Center,Gold
Riding Cycles,Gold
Camping and Sports Store,Silver
Sports Merchandise,Platinum
Eighty Toy Stores,Platinum
Rodeway Bike Store,Gold
Fourth Bike Store,Silver
Another Bicycle Company,Gold
Thrilling Bike Tours,Silver
Racing Partners,Silver
Inexpensive Parts Shop,Platinum
Unsurpassed Bikes,Silver
Two-Seater Bikes,Silver
Enterprise Center,Gold
Paints and Solvents Company,Silver
Home Town Bike Store,Silver
Helpful Sales and Repair Service,Gold
Cycle Parts and Accessories,Silver
Channel Outlet,Gold
Thrifty Parts and Sales,Gold
Petroleum Products Distributors,Platinum
Quick Parts and Service,Platinum
Nearby Bike Mall,Silver
Nearest Bike Store,Platinum
Engineered Bike Systems,Gold
Blue-Ribbon Bike Company,Silver
Seaside Bike Works,Silver
Essential Bike Works,Gold
Rugged Bikes,Gold
Cycles Sales and Repair,Gold
Rambling Tours,Silver
Acclaimed Bicycle Company,Silver
Top Bike Market,Platinum
Local Sales and Rental,Silver
Workout Emporium,Silver
Odometers and Accessories Company,Silver
Extreme Riding Supplies,Platinum
West Wind Distributors,Gold
Courteous Bicycle Specialists,Silver
First Center,Gold
Action Bicycle Specialists,Gold
Sleek Bikes,Silver
Educational Services,Gold
Central Bicycle Specialists,Silver
Wingtip Toys,Silver
Quitting Business Distributors,Gold
Fitness Bike Accessories,Silver
Fun Toys and Bikes,Silver
Next Door Cycles,Silver
Glossy Bikes,Silver
Accessories Network,Gold
Twin Cycles,Platinum
Purchase Mart,Platinum
Nationwide Supply,Gold
Professional Sales and Service,Gold
Cycle Clearance,Gold
Transport Bikes,Gold
Sellers of Cycles,Silver
Front Runner Bikes,Gold
Eastward Bike Accessories,Gold
Running and Cycling Gear,Silver
Exchange Parts Inc.,Silver
Eastside Parts Shop,Silver
Rustic Bike Store,Silver
Liquidation Sales,Gold
Utilitarian Sporting Goods,Silver
Popular Bike Lines,Gold
Bike Part Wholesalers,Silver
Hometown Riding Supplies,Silver
Widget Bicycle Specialists,Silver
Good Bicycle Store,Silver
Parts Shop,Silver
Expert Sports Store,Silver
The Cycle Store,Silver
Regional Cycle Shop,Silver
Shipping Specialists,Silver
Sensational Discount Store,Silver
Retail Discount Store,Gold
Jumbo Bikes,Silver
Operational Manufacturing,Silver
Eleventh Bike Store,Platinum
Parcel Express Delivery Service,Silver
Discount Bicycle Specialists,Platinum

